ligand,electrophile,electrophile_pci_name,nucleophile,nucleophile_pci_name,yield,ligand_smiles,electrophile_smiles,nucleophile_smiles,product_smiles
"P(3,5-CF3-Ph)3",2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,83.51,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
P(fur)3,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,89.29,c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
Ph-PhenCar-Phos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,21.8,c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
PPh2Me,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,93.57,CP(c1ccccc1)c1ccccc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
PPhtBu2,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,92.06,CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
tBPh-CPhos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,92.83,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
PPhMe2,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,92.91,CP(C)c1ccccc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
Cy-BippyPhos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,90.82,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
PCy3 HBF4,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,80.36,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
CgMe-PPh,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,88.24,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
PPh3,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,83.9,c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
X-Phos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,79.09,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
PnBu3 HBF4,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,89.2,CCCCP(CCCC)CCCC,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
A-caPhos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,65.05,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
BrettPhos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,11.47,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
CX-FBu,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,3.4,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
CX-PICy,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,63.86,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
Cy-DavePhos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,65.86,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
Cy-vBRIDP,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,63.32,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
Kwong,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,66.61,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
MeO-KITPHOS,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,45.26,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
P(o-Anis)3,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,8.6,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
Et-PhenCar-Phos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,61.02,CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
JackiePhos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,67.22,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
"P(3,5-CF3-Ph)3",5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,54.43,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
P(fur)3,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,57.96,c1coc(P(c2ccco2)c2ccco2)c1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
Ph-PhenCar-Phos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,52.55,c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
PPh2Me,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,19.49,CP(c1ccccc1)c1ccccc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
PPhtBu2,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,67.36,CC(C)(C)P(c1ccccc1)C(C)(C)C,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
tBPh-CPhos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,70.68,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
PPhMe2,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,19.98,CP(C)c1ccccc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
Cy-BippyPhos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,67.55,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
